Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-20,Early 2024,,https://boxd.it/qYXza,From December through May.

Position,Name,Year,URL,Description
1,After Yang,2021,https://boxd.it/lx5a,
2,Triangle of Sadness,2022,https://boxd.it/hXlq,
3,Whiplash,2014,https://boxd.it/7bQA,
4,The Worst Person in the World,2021,https://boxd.it/oyws,
5,Akira,1988,https://boxd.it/2b1i,
6,Wolfwalkers,2020,https://boxd.it/fGrC,
7,Normal People,2020,https://boxd.it/q2VY,
8,BLUE EYE SAMURAI,2023,https://boxd.it/JH9k,
9,Scott Pilgrim Takes Off,2023,https://boxd.it/JLZk,
10,The Iron Claw,2023,https://boxd.it/w5Pm,
11,Poor Things,2023,https://boxd.it/tNWU,
12,The Holdovers,2023,https://boxd.it/vHza,
13,Demon Slayer: Kimetsu no Yaiba,2019,https://boxd.it/pKsE,
14,Dune: Part Two,2024,https://boxd.it/pUfA,
15,Kung Fu Panda 4,2024,https://boxd.it/CepE,
16,The Fall Guy,2024,https://boxd.it/s0Bm,
17,Cinderella,2015,https://boxd.it/4KX6,
18,Masters of the Air,2024,https://boxd.it/KPrS,
19,The Zone of Interest,2023,https://boxd.it/gJsA,
20,Snowpiercer,2013,https://boxd.it/3Icg,
21,Shōgun,2024,https://boxd.it/LciY,
22,Civil War,2024,https://boxd.it/z1jW,
23,American Fiction,2023,https://boxd.it/DYHm,
24,The Ministry of Ungentlemanly Warfare,2024,https://boxd.it/u5zu,
25,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,
