Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-03-03,First Time Again,,https://boxd.it/fD4ii,Movies I want to watch again for the first time

Position,Name,Year,URL,Description
1,Interstellar,2014,https://boxd.it/4VZ8,
2,The Batman,2022,https://boxd.it/eDGs,
3,Parasite,2019,https://boxd.it/hTha,
4,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
5,A Silent Voice: The Movie,2016,https://boxd.it/d99c,
6,Arrival,2016,https://boxd.it/aNGk,
7,Black Mirror: San Junipero,2016,https://boxd.it/k4aS,
8,Fight Club,1999,https://boxd.it/2a9q,
9,Top Gun: Maverick,2022,https://boxd.it/cjr4,
10,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,
11,Black Mirror: Hang the DJ,2017,https://boxd.it/hQYA,
12,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
13,The Little Mermaid,2023,https://boxd.it/fVum,
14,ERASED,2016,https://boxd.it/px1A,
15,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
16,Moonrise Kingdom,2012,https://boxd.it/2Wng,
17,Past Lives,2023,https://boxd.it/oNB8,
18,Isle of Dogs,2018,https://boxd.it/dZrW,
19,Nimona,2023,https://boxd.it/Aiyc,
20,Barbie,2023,https://boxd.it/bCLK,
21,Loki,2021,https://boxd.it/sbHg,
22,Scott Pilgrim Takes Off,2023,https://boxd.it/JLZk,
23,Whiplash,2014,https://boxd.it/7bQA,
24,Dune: Part Two,2024,https://boxd.it/pUfA,
25,Trap,2024,https://boxd.it/D4nK,
