Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-09-11,Heavy Movies I that I told Braden to Watch,,https://boxd.it/idRyk,Braden watch these movies you silly goose!

Position,Name,Year,URL,Description
1,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
2,Parasite,2019,https://boxd.it/hTha,
3,Annihilation,2018,https://boxd.it/9yzm,
4,The Batman,2022,https://boxd.it/eDGs,
5,Jojo Rabbit,2019,https://boxd.it/iEBG,
6,Knives Out,2019,https://boxd.it/jWEA,
7,Get Out,2017,https://boxd.it/eOCm,
8,The Queen's Gambit,2020,https://boxd.it/s1Ym,
9,Bo Burnham: Inside,2021,https://boxd.it/v2uy,
10,Don't Look Up,2021,https://boxd.it/o0Hc,
11,Top Gun: Maverick,2022,https://boxd.it/cjr4,
