Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-01,Mid 2024,,https://boxd.it/rmGOA,June through August

Position,Name,Year,URL,Description
1,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
2,Alien: Romulus,2024,https://boxd.it/zGqO,
3,Joker: Folie à Deux,2024,https://boxd.it/xBoE,
4,Gladiator II,2024,https://boxd.it/kqQQ,
5,Over the Garden Wall,2014,https://boxd.it/eqFw,
6,Inside Out 2,2024,https://boxd.it/CFrC,
7,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,
8,Challengers,2024,https://boxd.it/zld0,
9,Jujutsu Kaisen,2020,https://boxd.it/sOve,
10,Jujutsu Kaisen 0,2021,https://boxd.it/uvFS,
11,In This Corner of the World,2016,https://boxd.it/d9kY,
12,Gone Girl,2014,https://boxd.it/6hQu,
13,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
14,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,
15,Sound of Metal,2019,https://boxd.it/i7Q4,
16,Nomadland,2020,https://boxd.it/lnRy,
17,The Handmaiden,2016,https://boxd.it/948A,
18,Captain Fantastic,2016,https://boxd.it/b2K2,
19,CODA,2021,https://boxd.it/tbf4,
20,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,
21,The Stepford Wives,1975,https://boxd.it/1Sfq,
22,Last Night in Soho,2021,https://boxd.it/lbJC,
23,Love Lies Bleeding,2024,https://boxd.it/zN4q,
24,Twisters,2024,https://boxd.it/qV7a,
25,Trap,2024,https://boxd.it/D4nK,
