Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-19,Movies that Influenced Once Upon a Time in Hollywood ,,https://boxd.it/cLTs8,

Position,Name,Year,URL,Description
1,Getting Straight,1970,https://boxd.it/WwI,
2,Model Shop,1969,https://boxd.it/32UA,
3,Bob & Carol & Ted & Alice,1969,https://boxd.it/1tIM,
4,Cactus Flower,1969,https://boxd.it/2lie,
5,Easy Rider,1969,https://boxd.it/29Ys,
6,Hammerhead,1968,https://boxd.it/4tcW,
7,The Wrecking Crew,1968,https://boxd.it/25R8,
8,Arizona Raiders,1965,https://boxd.it/4jga,
9,Battle of the Coral Sea,1959,https://boxd.it/Iwk,
10,Gunman's Walk,1958,https://boxd.it/VP0,
