Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-05-31,Summer 23,,https://boxd.it/n2y6E,Movies I plan on watching this Summer

Position,Name,Year,URL,Description
1,Rye Lane,2023,https://boxd.it/DIyy,
2,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
3,The Wind Rises,2013,https://boxd.it/4JQS,
4,Isle of Dogs,2018,https://boxd.it/dZrW,
5,Barbie,2023,https://boxd.it/bCLK,
6,Oppenheimer,2023,https://boxd.it/wUow,
7,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a,
8,Good Will Hunting,1997,https://boxd.it/2ahY,
9,The Little Mermaid,2023,https://boxd.it/fVum,
10,Haunted Mansion,2023,https://boxd.it/mOsi,
11,Elemental,2023,https://boxd.it/ASiE,
12,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
13,Love & Death,2023,https://boxd.it/Gdw8,
14,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
15,Moonrise Kingdom,2012,https://boxd.it/2Wng,
16,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,
17,Howl's Moving Castle,2004,https://boxd.it/23De,
18,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
19,Reality,2023,https://boxd.it/BeLI,
20,A Hard Day's Night,1964,https://boxd.it/29LS,
21,There Will Be Blood,2007,https://boxd.it/20Z2,
22,Scream,1996,https://boxd.it/24EC,
23,Scream 2,1997,https://boxd.it/24Es,
24,Scream 3,2000,https://boxd.it/24Ei,
25,Scream 4,2011,https://boxd.it/Zmc,
26,Babylon,2022,https://boxd.it/mM02,
27,Scream,2022,https://boxd.it/o0lg,
28,Scream VI,2023,https://boxd.it/zdfW,
29,Past Lives,2023,https://boxd.it/oNB8,
30,Asteroid City,2023,https://boxd.it/s3ds,
31,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
32,X,2022,https://boxd.it/sxVa,
33,Nimona,2023,https://boxd.it/Aiyc,
34,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,
35,Pearl,2022,https://boxd.it/zPbe,
36,Rango,2011,https://boxd.it/QPk,
37,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,
38,1917,2019,https://boxd.it/jj4y,
