Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-06-28,Annihilation,2018,https://boxd.it/1XhZsj,5,,,2021-06-27
2021-06-28,Alien: Covenant,2017,https://boxd.it/1XhZHt,3.5,,,2021-06-27
2021-07-23,A Quiet Place Part II,2020,https://boxd.it/20WNUz,5,Yes,,2021-07-22
2021-10-08,Interstellar,2014,https://boxd.it/2bS68N,5,Yes,,2021-10-07
2021-11-02,Dune,2021,https://boxd.it/2fOWKd,5,Yes,,2021-11-01
2021-11-27,National Lampoon's Christmas Vacation,1989,https://boxd.it/2jGnRX,5,Yes,,2021-11-26
2021-12-18,Spider-Man: No Way Home,2021,https://boxd.it/2mOySZ,5,,,2021-12-17
2021-12-24,Ron's Gone Wrong,2021,https://boxd.it/2o7sDh,3,,,2021-12-24
2021-12-25,Home Alone,1990,https://boxd.it/2odPMt,5,Yes,,2021-12-24
2022-01-01,It's a Wonderful Life,1946,https://boxd.it/2qczz5,5,Yes,,2021-12-31
2022-01-04,Don't Look Up,2021,https://boxd.it/2r1NeR,4,,,2022-01-03
2022-01-06,Blade Runner 2049,2017,https://boxd.it/2rwIcj,5,Yes,,2022-01-05
2022-01-17,Eternals,2021,https://boxd.it/2umsqL,5,Yes,,2022-01-16
2022-01-17,The Amazing Spider-Man,2012,https://boxd.it/2umsSZ,3,Yes,,2022-01-16
2022-01-23,Spider-Man,2002,https://boxd.it/2vMeg9,4.5,Yes,,2022-01-22
2022-03-09,The Batman,2022,https://boxd.it/2E9JfT,5,,,2022-03-08
2022-04-11,Parasyte -the maxim-,2014,https://boxd.it/2KclfF,4,,,2022-04-11
2022-04-21,Her,2013,https://boxd.it/2M1xFh,5,Yes,,2022-04-21
2022-04-22,American Psycho,2000,https://boxd.it/2Mazdd,4.5,,,2022-04-21
2022-04-30,Moon Knight,2022,https://boxd.it/2NyoJf,4,,,2022-04-29
2022-05-01,Black Mirror: San Junipero,2016,https://boxd.it/2NKhBd,5,,,2022-04-30
2022-05-17,Pulp Fiction,1994,https://boxd.it/2Qz5QZ,5,,,2022-05-16
2022-05-18,Fight Club,1999,https://boxd.it/2QFNpP,5,,,2022-05-17
2022-05-20,Taxi Driver,1976,https://boxd.it/2R3YEz,5,,,2022-05-19
2022-05-21,Men,2022,https://boxd.it/2Rb47Z,5,,,2022-05-20
2022-05-28,Obi-Wan Kenobi,2022,https://boxd.it/2SviKv,0.5,,,2022-05-27
