Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-02-06,A24 Bangers,,https://boxd.it/fk32U,A mix of seen and watchlisted

Position,Name,Year,URL,Description
1,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
2,Midsommar,2019,https://boxd.it/jhxe,
3,The Green Knight,2021,https://boxd.it/kuy2,
4,The Farewell,2019,https://boxd.it/kIky,
5,Minari,2020,https://boxd.it/mL9M,
6,Hereditary,2018,https://boxd.it/hNVe,
7,Moonlight,2016,https://boxd.it/d6bE,
8,Uncut Gems,2019,https://boxd.it/gXGc,
9,After Yang,2021,https://boxd.it/lx5a,
10,Men,2022,https://boxd.it/tlc0,
11,C'mon C'mon,2021,https://boxd.it/nrI0,
12,The Lighthouse,2019,https://boxd.it/icFU,
13,Lady Bird,2017,https://boxd.it/dGNE,
14,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,
15,The Spectacular Now,2013,https://boxd.it/4VSG,
16,Under the Skin,2013,https://boxd.it/3mDa,
17,20th Century Women,2016,https://boxd.it/bqU6,
18,The Witch,2015,https://boxd.it/9X0m,
19,American Honey,2016,https://boxd.it/bk7C,
20,The Last Black Man in San Francisco,2019,https://boxd.it/iWAw,
21,Zola,2020,https://boxd.it/jEWQ,
22,First Reformed,2017,https://boxd.it/go9C,
23,A Ghost Story,2017,https://boxd.it/fb0K,
24,Enemy,2013,https://boxd.it/5xtO,
25,The Lobster,2015,https://boxd.it/7tnw,
26,Good Time,2017,https://boxd.it/fcFu,
27,Red Rocket,2021,https://boxd.it/sGpi,
28,Ex Machina,2015,https://boxd.it/7T2k,
29,Climax,2018,https://boxd.it/ikvo,
30,Room,2015,https://boxd.it/7T0y,
31,The Florida Project,2017,https://boxd.it/dMG0,
32,Lamb,2021,https://boxd.it/tFwE,
33,The Souvenir: Part II,2021,https://boxd.it/gXTK,
34,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,
35,Past Lives,2023,https://boxd.it/oNB8,
36,Pearl,2022,https://boxd.it/zPbe,
37,X,2022,https://boxd.it/sxVa,
38,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
39,The Whale,2022,https://boxd.it/tw4c,
40,The Iron Claw,2023,https://boxd.it/w5Pm,
41,The Zone of Interest,2023,https://boxd.it/gJsA,
42,Civil War,2024,https://boxd.it/z1jW,
43,Love Lies Bleeding,2024,https://boxd.it/zN4q,
44,Beau Is Afraid,2023,https://boxd.it/u2gE,
45,MaXXXine,2024,https://boxd.it/CIM4,
46,I Saw the TV Glow,2024,https://boxd.it/woVe,
47,Eighth Grade,2018,https://boxd.it/hDMG,
48,Dream Scenario,2023,https://boxd.it/v2h0,
49,BEEF,2023,https://boxd.it/FPsm,
50,White Noise,2022,https://boxd.it/rXgK,
51,Euphoria: Trouble Don't Last Always,2020,https://boxd.it/ta4a,
52,Heretic,2024,https://boxd.it/H1lY,
53,The Backrooms,,https://boxd.it/EY6W,
54,Would It Kill You to Laugh? Starring Kate Berlant + John Early,2022,https://boxd.it/BlZC,
55,The Curse,2023,https://boxd.it/IWYq,
56,Talk to Me,2022,https://boxd.it/C6uQ,
57,The Legend of Ochi,2025,https://boxd.it/xRZm,
