Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-10,Academy Award Winners for Best Picture,,https://boxd.it/kq4Sk,

Position,Name,Year,URL,Description
1,Wings,1927,https://boxd.it/1osO,
2,The Broadway Melody,1929,https://boxd.it/4dW,
3,All Quiet on the Western Front,1930,https://boxd.it/2b2g,
4,Cimarron,1931,https://boxd.it/VQC,
5,Grand Hotel,1932,https://boxd.it/1f2C,
6,Cavalcade,1933,https://boxd.it/pMI,
7,It Happened One Night,1934,https://boxd.it/25Ng,
8,Mutiny on the Bounty,1935,https://boxd.it/1S5K,
9,The Great Ziegfeld,1936,https://boxd.it/UTg,
10,The Life of Emile Zola,1937,https://boxd.it/UT6,
11,You Can't Take It with You,1938,https://boxd.it/1ejM,
12,Gone with the Wind,1939,https://boxd.it/29Fq,
13,Rebecca,1940,https://boxd.it/2aQa,
14,How Green Was My Valley,1941,https://boxd.it/UV2,
15,Mrs. Miniver,1942,https://boxd.it/1rXA,
16,Casablanca,1942,https://boxd.it/2aG0,
17,Going My Way,1944,https://boxd.it/1Ihw,
18,The Lost Weekend,1945,https://boxd.it/1pgE,
19,The Best Years of Our Lives,1946,https://boxd.it/29my,
20,Gentleman's Agreement,1947,https://boxd.it/1f3U,
21,Hamlet,1948,https://boxd.it/1ziq,
22,All the King's Men,1949,https://boxd.it/1vQI,
23,All About Eve,1950,https://boxd.it/29LI,
24,An American in Paris,1951,https://boxd.it/26kY,
25,The Greatest Show on Earth,1952,https://boxd.it/1smA,
26,From Here to Eternity,1953,https://boxd.it/1TRU,
27,On the Waterfront,1954,https://boxd.it/29TC,
28,Marty,1955,https://boxd.it/1Leg,
29,Around the World in Eighty Days,1956,https://boxd.it/268I,
30,The Bridge on the River Kwai,1957,https://boxd.it/29wo,
31,Gigi,1958,https://boxd.it/1IT6,
32,Ben-Hur,1959,https://boxd.it/29RQ,
33,The Apartment,1960,https://boxd.it/2aGE,
34,West Side Story,1961,https://boxd.it/28dK,
35,Lawrence of Arabia,1962,https://boxd.it/2wRE,
36,Tom Jones,1963,https://boxd.it/22Ao,
37,My Fair Lady,1964,https://boxd.it/1UBI,
38,The Sound of Music,1965,https://boxd.it/1MLK,
39,A Man for All Seasons,1966,https://boxd.it/29oE,
40,In the Heat of the Night,1967,https://boxd.it/1VLY,
41,Oliver!,1968,https://boxd.it/1HQU,
42,Midnight Cowboy,1969,https://boxd.it/25Hi,
43,Patton,1970,https://boxd.it/1UnQ,
44,The French Connection,1971,https://boxd.it/296g,
45,The Godfather,1972,https://boxd.it/2aNK,
46,The Sting,1973,https://boxd.it/1Z5s,
47,The Godfather Part II,1974,https://boxd.it/2aNq,
48,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
49,Rocky,1976,https://boxd.it/28Uk,
50,Annie Hall,1977,https://boxd.it/29M2,
51,The Deer Hunter,1978,https://boxd.it/1T6O,
52,Kramer vs. Kramer,1979,https://boxd.it/h0w,
53,Ordinary People,1980,https://boxd.it/1JTm,
54,Chariots of Fire,1981,https://boxd.it/1YFu,
55,Gandhi,1982,https://boxd.it/29Dk,
56,Terms of Endearment,1983,https://boxd.it/1ULo,
57,Amadeus,1984,https://boxd.it/2aH8,
58,Out of Africa,1985,https://boxd.it/2a0S,
59,Platoon,1986,https://boxd.it/29BS,
60,The Last Emperor,1987,https://boxd.it/29Ji,
61,Rain Man,1988,https://boxd.it/2avw,
62,Driving Miss Daisy,1989,https://boxd.it/2asC,
63,Dances with Wolves,1990,https://boxd.it/2a4K,
64,The Silence of the Lambs,1991,https://boxd.it/2aHW,
65,Unforgiven,1992,https://boxd.it/6Z4,
66,Schindler's List,1993,https://boxd.it/2aq2,
67,Forrest Gump,1994,https://boxd.it/728,
68,Braveheart,1995,https://boxd.it/2aTI,
69,The English Patient,1996,https://boxd.it/2arE,
70,Titanic,1997,https://boxd.it/2a2k,
71,Shakespeare in Love,1998,https://boxd.it/27Pe,
72,American Beauty,1999,https://boxd.it/71Y,
73,Gladiator,2000,https://boxd.it/2b9m,
74,A Beautiful Mind,2001,https://boxd.it/2amk,
75,Chicago,2002,https://boxd.it/28zm,
76,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
77,Million Dollar Baby,2004,https://boxd.it/2bdI,
78,Crash,2004,https://boxd.it/28q0,
79,The Departed,2006,https://boxd.it/28MA,
80,No Country for Old Men,2007,https://boxd.it/21ew,
81,Slumdog Millionaire,2008,https://boxd.it/1S3E,
82,The Hurt Locker,2008,https://boxd.it/1Soi,
83,The King's Speech,2010,https://boxd.it/dX0,
84,The Artist,2011,https://boxd.it/2AwK,
85,Argo,2012,https://boxd.it/2czU,
86,12 Years a Slave,2013,https://boxd.it/2D2e,
87,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
88,Spotlight,2015,https://boxd.it/a84k,
89,Moonlight,2016,https://boxd.it/d6bE,
90,The Shape of Water,2017,https://boxd.it/dZ5m,
91,Green Book,2018,https://boxd.it/hErk,
92,Parasite,2019,https://boxd.it/hTha,
93,Nomadland,2020,https://boxd.it/lnRy,
94,CODA,2021,https://boxd.it/tbf4,
