Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-04-29,Black Mirror,,https://boxd.it/godp2,

Position,Name,Year,URL,Description
1,Black Mirror: Hang the DJ,2017,https://boxd.it/hQYA,
2,Civil War,2024,https://boxd.it/z1jW,
3,Black Mirror: Be Right Back,2013,https://boxd.it/hRpw,
4,Black Mirror: White Bear,2013,https://boxd.it/hRpG,
5,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,
6,Black Mirror: San Junipero,2016,https://boxd.it/k4aS,
7,Black Mirror: Playtest,2016,https://boxd.it/hRR6,
8,Black Mirror: The Entire History of You,2011,https://boxd.it/hQZ4,
9,Black Mirror: Hated in the Nation,2016,https://boxd.it/hSBI,
10,Black Mirror: Shut Up and Dance,2016,https://boxd.it/hRRq,
