Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-07-24,Chinese,,https://boxd.it/hwB9W,Watch these again when you are fluent in Chinese to have a deeper richer understanding

Position,Name,Year,URL,Description
1,Ip Man,2008,https://boxd.it/1NrQ,
2,Ip Man 2,2010,https://boxd.it/18gs,
3,Yi Yi,2000,https://boxd.it/1vCw,
4,A Brighter Summer Day,1991,https://boxd.it/1Luy,
5,In the Mood for Love,2000,https://boxd.it/29tE,
6,Raise the Red Lantern,1991,https://boxd.it/1WlC,
7,Fallen Angels,1995,https://boxd.it/1UkW,
8,Happy Together,1997,https://boxd.it/1Ha0,
9,The 8 Diagram Pole Fighter,1984,https://boxd.it/1h2a,
10,A Touch of Zen,1970,https://boxd.it/SFm,
11,Terrorizers,1986,https://boxd.it/2IRG,
12,Vive L'Amour,1994,https://boxd.it/2wsa,
13,Taipei Story,1985,https://boxd.it/3BkC,
14,The Killer,1989,https://boxd.it/1Vha,
15,Dragon Inn,1967,https://boxd.it/3xGa,
16,Platform,2000,https://boxd.it/2O0S,
17,What Time Is It There?,2001,https://boxd.it/1ybe,
18,The 36th Chamber of Shaolin,1978,https://boxd.it/1SXC,
19,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG,
20,2046,2004,https://boxd.it/29tu,
21,Rebels of the Neon God,1992,https://boxd.it/mp2,
22,Drunken Master II,1994,https://boxd.it/1Si0,
23,Hero,2002,https://boxd.it/2bcq,
24,Fist of Fury,1972,https://boxd.it/1TaG,
25,Come Drink with Me,1966,https://boxd.it/1uf2,
26,Farewell My Concubine,1993,https://boxd.it/1UTM,
27,Infernal Affairs,2002,https://boxd.it/1Vqw,
28,"Lust, Caution",2007,https://boxd.it/244k,
29,The Assassin,2015,https://boxd.it/7rdE,
30,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
31,Chungking Express,1994,https://boxd.it/1UDa,
