Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-05-29,Favorites Continued,,https://boxd.it/cgpla,Top 4 continued

Position,Name,Year,URL,Description
1,A Silent Voice: The Movie,2016,https://boxd.it/d99c,
2,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,
3,Parasite,2019,https://boxd.it/hTha,
4,Interstellar,2014,https://boxd.it/4VZ8,
5,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
6,Midnight Mass,2021,https://boxd.it/wvVA,
7,Your Name.,2016,https://boxd.it/cUqs,
8,Encanto,2021,https://boxd.it/kPRu,
9,La La Land,2016,https://boxd.it/a5fa,
10,Dune: Part Two,2024,https://boxd.it/pUfA,
11,Luca,2021,https://boxd.it/ipjC,
12,Nimona,2023,https://boxd.it/Aiyc,
13,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
14,Barbie,2023,https://boxd.it/bCLK,
15,Oppenheimer,2023,https://boxd.it/wUow,
16,Loki,2021,https://boxd.it/sbHg,
17,Godzilla Minus One,2023,https://boxd.it/zu4c,
18,Fight Club,1999,https://boxd.it/2a9q,
19,Arrival,2016,https://boxd.it/aNGk,
20,The Batman,2022,https://boxd.it/eDGs,
