Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-03-20,Favorites From Growing Up,,https://boxd.it/fSpuu,

Position,Name,Year,URL,Description
1,The Prince of Egypt,1998,https://boxd.it/1XGQ,
2,Mulan,1998,https://boxd.it/1VFw,
3,Atlantis: The Lost Empire,2001,https://boxd.it/1Vck,
4,Spider-Man,2002,https://boxd.it/2a8i,
5,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,
6,Godzilla,1998,https://boxd.it/29fW,
7,Back to the Future,1985,https://boxd.it/2b8e,
8,The Sandlot,1993,https://boxd.it/1TDy,
9,Jurassic Park,1993,https://boxd.it/2aA2,
10,Dinosaur,2000,https://boxd.it/1VWi,
11,What About Bob?,1991,https://boxd.it/1WEk,
12,Secondhand Lions,2003,https://boxd.it/1QHC,
13,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,
14,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,
15,The Emperor's New Groove,2000,https://boxd.it/1Tey,
16,Spider-Man 2,2004,https://boxd.it/2a88,
17,Hook,1991,https://boxd.it/29nQ,
18,Jumanji,1995,https://boxd.it/1ZLI,
19,The Lion King,1994,https://boxd.it/201Q,
20,Tarzan,1999,https://boxd.it/18YO,
21,Fantasia 2000,1999,https://boxd.it/ENG,
22,Toy Story,1995,https://boxd.it/29qA,
23,Signs,2002,https://boxd.it/26t2,
24,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,
25,Jurassic Park III,2001,https://boxd.it/2azI,
26,The Rescuers Down Under,1990,https://boxd.it/1Uya,
27,"Hey There, It's Yogi Bear!",1964,https://boxd.it/1gdw,
28,Transformers,2007,https://boxd.it/280c,
29,Teenage Mutant Ninja Turtles,1990,https://boxd.it/28FY,
30,Back to the Future Part II,1989,https://boxd.it/2aYI,
31,Back to the Future Part III,1990,https://boxd.it/2aTS,
32,Dennis the Menace,1993,https://boxd.it/1SrQ,
33,Big,1988,https://boxd.it/271S,
34,Ri¢hie Ri¢h,1994,https://boxd.it/1URw,
35,Aladdin,1992,https://boxd.it/29yE,
36,Space Jam,1996,https://boxd.it/26YO,
37,Beverly Hills Ninja,1997,https://boxd.it/1Ydg,
38,Bowfinger,1999,https://boxd.it/1U3w,
39,Forrest Gump,1994,https://boxd.it/728,
40,Home Alone,1990,https://boxd.it/29Fg,
41,Matilda,1996,https://boxd.it/1VhY,
42,Stuart Little,1999,https://boxd.it/1WZW,
43,Tommy Boy,1995,https://boxd.it/1TZ0,
44,The Waterboy,1998,https://boxd.it/1VHi,
45,Happy Gilmore,1996,https://boxd.it/1Yey,
46,Bean,1997,https://boxd.it/28WA,
47,"Honey, I Shrunk the Kids",1989,https://boxd.it/1YTw,
48,Men in Black,1997,https://boxd.it/2a0I,
49,Homeward Bound: The Incredible Journey,1993,https://boxd.it/21lM,
50,Balto,1995,https://boxd.it/1Cwq,
51,Pocahontas,1995,https://boxd.it/1W2g,
52,Independence Day,1996,https://boxd.it/2a1w,
53,Antz,1998,https://boxd.it/1ZB4,
54,A Bug's Life,1998,https://boxd.it/1Yyy,
55,The Hunchback of Notre Dame,1996,https://boxd.it/1VZQ,
56,The Indian in the Cupboard,1995,https://boxd.it/1U2y,
57,A Charlie Brown Christmas,1965,https://boxd.it/1QDq,
58,"It's the Great Pumpkin, Charlie Brown",1966,https://boxd.it/1Qmu,
59,A Charlie Brown Thanksgiving,1973,https://boxd.it/1Q5I,
60,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
61,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
62,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
63,Jimmy Neutron: Boy Genius,2001,https://boxd.it/1RDm,
64,Cats & Dogs,2001,https://boxd.it/1UUq,
65,Max Keeble's Big Move,2001,https://boxd.it/1dHe,
66,Chicken Run,2000,https://boxd.it/20Xg,
67,Shrek,2001,https://boxd.it/29zi,
68,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
69,"Monsters, Inc.",2001,https://boxd.it/2a46,
70,The Master of Disguise,2002,https://boxd.it/1Pai,
71,Lilo & Stitch,2002,https://boxd.it/1TAY,
72,Like Mike,2002,https://boxd.it/1Beq,
73,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
74,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,
75,Finding Nemo,2003,https://boxd.it/72i,
76,Holes,2003,https://boxd.it/20mE,
77,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
78,Elf,2003,https://boxd.it/1VyK,
79,The Incredibles,2004,https://boxd.it/1XLm,
80,Napoleon Dynamite,2004,https://boxd.it/20wu,
81,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,
82,The Polar Express,2004,https://boxd.it/23am,
83,"I, Robot",2004,https://boxd.it/27y8,
84,The Three Musketeers,1993,https://boxd.it/1Xc2,
85,First Knight,1995,https://boxd.it/21zY,
86,The Princess Bride,1987,https://boxd.it/26EY,
87,The Jungle Book,1994,https://boxd.it/1Vzy,
88,The Man in the Iron Mask,1998,https://boxd.it/1YZO,
89,The Sword in the Stone,1963,https://boxd.it/1ZdG,
90,Robin Hood,1973,https://boxd.it/1SRa,
91,Babe,1995,https://boxd.it/1Yh8,
92,Casper,1995,https://boxd.it/1ZMw,
93,James and the Giant Peach,1996,https://boxd.it/1W0O,
94,Hercules,1997,https://boxd.it/1SDW,
95,Batman & Robin,1997,https://boxd.it/2ar0,
96,The Mask of Zorro,1998,https://boxd.it/1YVi,
97,The Brave Little Toaster,1987,https://boxd.it/1ElO,
98,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
99,Alice in Wonderland,1951,https://boxd.it/1Sz6,
100,Spaceballs,1987,https://boxd.it/29cy,
101,Batman,1989,https://boxd.it/2aIU,
102,Star Wars,1977,https://boxd.it/72s,
103,The Empire Strikes Back,1980,https://boxd.it/27Vw,
104,Return of the Jedi,1983,https://boxd.it/27Vm,
105,Robots,2005,https://boxd.it/1Xve,
106,The Sum of All Fears,2002,https://boxd.it/242I,
107,The Muppet Christmas Carol,1992,https://boxd.it/1WgC,
108,How to Train Your Dragon,2010,https://boxd.it/1WRy,
109,The Many Adventures of Winnie the Pooh,1977,https://boxd.it/7l0Y,
