Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-27,Future Family Movies,,https://boxd.it/jiD4E,Favorite movies to show our kids as they are growing up

Position,Name,Year,URL,Description
1,The Bad Guys,2022,https://boxd.it/nkg4,
2,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,
3,A Silent Voice: The Movie,2016,https://boxd.it/d99c,
4,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
5,Klaus,2019,https://boxd.it/ipoi,
6,Mulan,1998,https://boxd.it/1VFw,
7,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,
8,Far from the Tree,2021,https://boxd.it/vmgc,
9,Inside Out,2015,https://boxd.it/4KHC,
10,Big Hero 6,2014,https://boxd.it/5rje,
11,Encanto,2021,https://boxd.it/kPRu,
12,Wreck-It Ralph,2012,https://boxd.it/2TTS,
13,Crazy Rich Asians,2018,https://boxd.it/gfnK,
14,Onward,2020,https://boxd.it/io92,
15,Raya and the Last Dragon,2021,https://boxd.it/jbkI,
16,Storks,2016,https://boxd.it/aUo8,
17,The Boss Baby: Family Business,2021,https://boxd.it/goWY,
18,Avatar: The Way of Water,2022,https://boxd.it/2E2E,
19,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,
20,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,
21,The Muppet Christmas Carol,1992,https://boxd.it/1WgC,
22,How to Train Your Dragon,2010,https://boxd.it/1WRy,
23,Strange World,2022,https://boxd.it/x6Li,
24,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
25,About Time,2013,https://boxd.it/43bI,
26,Lilo & Stitch,2002,https://boxd.it/1TAY,
27,The Little Mermaid,2023,https://boxd.it/fVum,
28,Isle of Dogs,2018,https://boxd.it/dZrW,
29,Asteroid City,2023,https://boxd.it/s3ds,
30,Nimona,2023,https://boxd.it/Aiyc,
31,Barbie,2023,https://boxd.it/bCLK,
32,Cinderella,2015,https://boxd.it/4KX6,
33,The Wrong Trousers,1993,https://boxd.it/2ack,
34,A Grand Day Out,1989,https://boxd.it/2acu,
35,A Close Shave,1995,https://boxd.it/2aca,
36,Inside Out 2,2024,https://boxd.it/CFrC,
37,Twenty Something,2021,https://boxd.it/wbzu,
38,Out,2020,https://boxd.it/qs3I,
39,Pooh's Grand Adventure: The Search for Christopher Robin,1997,https://boxd.it/1N8Y,
40,The Wild Robot,2024,https://boxd.it/IWFy,
