Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-19,My Ghibli Favorites,,https://boxd.it/cLZ7A,

Position,Name,Year,URL,Description
1,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
2,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,
3,Spirited Away,2001,https://boxd.it/2b4m,
4,Howl's Moving Castle,2004,https://boxd.it/23De,
5,My Neighbor Totoro,1988,https://boxd.it/20eA,
6,Princess Mononoke,1997,https://boxd.it/2b4w,
7,Porco Rosso,1992,https://boxd.it/1Tp2,
8,Ponyo,2008,https://boxd.it/1S0A,
9,Castle in the Sky,1986,https://boxd.it/1W4G,
