Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-07-24,Korean,,https://boxd.it/hwC3K,Watch these again when you are fluent in Korean to have a deeper richer understanding

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,The Handmaiden,2016,https://boxd.it/948A,
3,Oldboy,2003,https://boxd.it/29R2,
4,Memories of Murder,2003,https://boxd.it/1TSo,
5,A Taxi Driver,2017,https://boxd.it/fwac,
6,Mother,2009,https://boxd.it/1m9g,
7,Burning,2018,https://boxd.it/hHUa,
8,I Saw the Devil,2010,https://boxd.it/FaK,
9,Train to Busan,2016,https://boxd.it/dSQU,
10,Lady Vengeance,2005,https://boxd.it/248G,
11,The Wailing,2016,https://boxd.it/9fLy,
12,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,
13,Squid Game,2021,https://boxd.it/x1OG,
14,The Housemaid,1960,https://boxd.it/WJs,
15,Forgotten,2017,https://boxd.it/hAJE,
16,The Host,2006,https://boxd.it/28ZY,
17,Okja,2017,https://boxd.it/dvXe,
18,Thirst,2009,https://boxd.it/1Aqq,
19,A Tale of Two Sisters,2003,https://boxd.it/248m,
20,The Beauty Inside,2015,https://boxd.it/bfC6,
21,Move to Heaven,2021,https://boxd.it/viLU,
22,Vincenzo,2021,https://boxd.it/v6gA,
23,Hometown Cha-Cha-Cha,2021,https://boxd.it/xrJC,
24,Goblin,2016,https://boxd.it/uMWm,
25,Joint Security Area,2000,https://boxd.it/26Ja,
26,Decision to Leave,2022,https://boxd.it/qp9e,
27,Columbus,2017,https://boxd.it/eCuA,
28,Broker,2022,https://boxd.it/rDUU,
29,Snowpiercer,2013,https://boxd.it/3Icg,
