Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-19,Late-Stage,,https://boxd.it/BkTvM,

Position,Name,Year,URL,Description
1,There Will Be Blood,2007,https://boxd.it/20Z2,
2,Parasite,2019,https://boxd.it/hTha,
3,Fight Club,1999,https://boxd.it/2a9q,
4,Nomadland,2020,https://boxd.it/lnRy,
5,Nightcrawler,2014,https://boxd.it/780m,
6,The Big Short,2015,https://boxd.it/ajZw,
7,Snowpiercer,2013,https://boxd.it/3Icg,
8,Uncut Gems,2019,https://boxd.it/gXGc,
9,Sorry to Bother You,2018,https://boxd.it/f21E,
10,Thief,1981,https://boxd.it/1TEc,
11,Okja,2017,https://boxd.it/dvXe,
