Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-19,Megan’s on Repeat,,https://boxd.it/cLUU8,Movies that Megan puts on and I rewatch—ranked by my favorite to least favorite.

Position,Name,Year,URL,Description
1,Top Gun: Maverick,2022,https://boxd.it/cjr4,
2,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
3,Knives Out,2019,https://boxd.it/jWEA,
4,Encanto,2021,https://boxd.it/kPRu,
5,WALL·E,2008,https://boxd.it/1VEo,
6,Luca,2021,https://boxd.it/ipjC,
7,The Fall Guy,2024,https://boxd.it/s0Bm,
8,Robots,2005,https://boxd.it/1Xve,
9,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,
10,Masterminds,2016,https://boxd.it/6mTe,
11,National Lampoon's Christmas Vacation,1989,https://boxd.it/22wQ,
12,Storks,2016,https://boxd.it/aUo8,
13,Cinderella,2015,https://boxd.it/4KX6,
14,Onward,2020,https://boxd.it/io92,
15,The Grinch,2018,https://boxd.it/chpK,
16,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,
17,Tag,2018,https://boxd.it/gh7Y,
18,ParaNorman,2012,https://boxd.it/2FuY,
19,Arthur Christmas,2011,https://boxd.it/Cg6,
20,Avengers: Endgame,2019,https://boxd.it/9vE4,
21,Captain America: The First Avenger,2011,https://boxd.it/28b0,
22,Captain America: Civil War,2016,https://boxd.it/89Ja,
23,Miss Pettigrew Lives for a Day,2008,https://boxd.it/1SlS,
24,Muppets Most Wanted,2014,https://boxd.it/4Cti,
25,What to Expect When You're Expecting,2012,https://boxd.it/2DEM,
26,Flushed Away,2006,https://boxd.it/1Tpm,
27,Cars,2006,https://boxd.it/29ho,
28,The Muppets,2011,https://boxd.it/1zg,
29,Haunted Mansion,2023,https://boxd.it/mOsi,
30,Grease,1978,https://boxd.it/29YW,
31,Free Birds,2013,https://boxd.it/5oi8,
32,Mamma Mia!,2008,https://boxd.it/1Tnq,
33,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,
34,Cars 3,2017,https://boxd.it/7IPq,
35,Finding Dory,2016,https://boxd.it/4aAA,
36,The Wild Robot,2024,https://boxd.it/IWFy,
