Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-06-25,Rom Dram,,https://boxd.it/wxX4c,

Position,Name,Year,URL,Description
1,The Wind Rises,2013,https://boxd.it/4JQS,
2,Her,2013,https://boxd.it/4O24,
3,Moonrise Kingdom,2012,https://boxd.it/2Wng,
4,10 Things I Hate About You,1999,https://boxd.it/23AO,
5,Black Mirror: Hang the DJ,2017,https://boxd.it/hQYA,
6,Normal People,2020,https://boxd.it/q2VY,
7,Rye Lane,2023,https://boxd.it/DIyy,
8,Scott Pilgrim Takes Off,2023,https://boxd.it/JLZk,
9,Call Me by Your Name,2017,https://boxd.it/dYmm,
10,Shanghai Blues,1984,https://boxd.it/4zMG,
11,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,
12,Lost in Translation,2003,https://boxd.it/2b0E,
13,The Virgin Suicides,1999,https://boxd.it/28JG,
14,La La Land,2016,https://boxd.it/a5fa,
15,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
16,Little Women,2019,https://boxd.it/aSVk,
17,Past Lives,2023,https://boxd.it/oNB8,
18,Challengers,2024,https://boxd.it/zld0,
19,Before Sunrise,1995,https://boxd.it/2bcU,
20,Anyone But You,2023,https://boxd.it/EzA8,
21,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
22,(500) Days of Summer,2009,https://boxd.it/1EmM,
23,Amélie,2001,https://boxd.it/2aUc,
24,The Lobster,2015,https://boxd.it/7tnw,
25,Priscilla,2023,https://boxd.it/Cz3k,
26,Brokeback Mountain,2005,https://boxd.it/2b2q,
27,Juno,2007,https://boxd.it/210a,
28,Bones and All,2022,https://boxd.it/tLd4,
29,Your Name.,2016,https://boxd.it/cUqs,
30,The Shape of Water,2017,https://boxd.it/dZ5m,
31,About Time,2013,https://boxd.it/43bI,
32,The Worst Person in the World,2021,https://boxd.it/oyws,
33,In the Mood for Love,2000,https://boxd.it/29tE,
34,The Handmaiden,2016,https://boxd.it/948A,
35,When Harry Met Sally...,1989,https://boxd.it/29W2,
36,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,
37,Before Sunset,2004,https://boxd.it/2bcg,
38,All of Us Strangers,2023,https://boxd.it/Bz3C,
39,A Star Is Born,2018,https://boxd.it/aXgc,
40,Fallen Angels,1995,https://boxd.it/1UkW,
41,Elemental,2023,https://boxd.it/ASiE,
42,Midnight in Paris,2011,https://boxd.it/i4a,
43,Carol,2015,https://boxd.it/7DPK,
44,Punch-Drunk Love,2002,https://boxd.it/20E4,
45,Crazy Rich Asians,2018,https://boxd.it/gfnK,
46,The Idea of You,2024,https://boxd.it/vOW6,
47,Love Lies Bleeding,2024,https://boxd.it/zN4q,
48,Singin' in the Rain,1952,https://boxd.it/29oY,
49,Emma.,2020,https://boxd.it/kmg0,
50,Before Midnight,2013,https://boxd.it/4ive,
51,Decision to Leave,2022,https://boxd.it/qp9e,
52,Slumdog Millionaire,2008,https://boxd.it/1S3E,
53,CODA,2021,https://boxd.it/tbf4,
54,Breakfast at Tiffany's,1961,https://boxd.it/2aYS,
55,Swiss Army Man,2016,https://boxd.it/bDG2,
56,"Love, Simon",2018,https://boxd.it/g02s,
57,Waves,2019,https://boxd.it/jpmy,
58,The Piano Teacher,2001,https://boxd.it/2886,
59,Where the Crawdads Sing,2022,https://boxd.it/psLS,
60,You've Got Mail,1998,https://boxd.it/1Yye,
61,The Big Sick,2017,https://boxd.it/eHvy,
62,Weathering with You,2019,https://boxd.it/kPxE,
63,The Artist,2011,https://boxd.it/2AwK,
64,The Fountain,2006,https://boxd.it/28RU,
65,5 Centimeters per Second,2007,https://boxd.it/16G4,
66,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,
67,The Garden of Words,2013,https://boxd.it/5Ymq,
68,Meet Joe Black,1998,https://boxd.it/2aEI,
69,The Proposal,2009,https://boxd.it/1HiS,
