Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-29,Slashers/Horror/Thriller,,https://boxd.it/nzhTU,Watchlisted and favorited.

Position,Name,Year,URL,Description
1,Psycho,1960,https://boxd.it/2ab2,
2,Scream,1996,https://boxd.it/24EC,
3,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
4,Halloween,1978,https://boxd.it/2wRu,
5,Black Christmas,1974,https://boxd.it/1Js6,
6,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,
7,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
8,Midsommar,2019,https://boxd.it/jhxe,
9,Get Out,2017,https://boxd.it/eOCm,
10,The Menu,2022,https://boxd.it/lScm,
11,The Shining,1980,https://boxd.it/29Nu,
12,Nope,2022,https://boxd.it/sDCe,
13,Black Swan,2010,https://boxd.it/Sw0,
14,Hereditary,2018,https://boxd.it/hNVe,
15,The Lighthouse,2019,https://boxd.it/icFU,
16,Us,2019,https://boxd.it/gnV6,
17,A Quiet Place,2018,https://boxd.it/fVJQ,
18,It,2017,https://boxd.it/bC8e,
19,X,2022,https://boxd.it/sxVa,
20,The Witch,2015,https://boxd.it/9X0m,
21,Alien,1979,https://boxd.it/2awY,
22,Barbarian,2022,https://boxd.it/yohi,
23,Pearl,2022,https://boxd.it/zPbe,
24,Jaws,1975,https://boxd.it/2a5e,
25,Split,2016,https://boxd.it/dgSy,
26,Last Night in Soho,2021,https://boxd.it/lbJC,
27,The Thing,1982,https://boxd.it/294O,
28,mother!,2017,https://boxd.it/dgRU,
29,Annihilation,2018,https://boxd.it/9yzm,
30,Shaun of the Dead,2004,https://boxd.it/29J8,
31,Bones and All,2022,https://boxd.it/tLd4,
32,The Black Phone,2021,https://boxd.it/sqFE,
33,Jennifer's Body,2009,https://boxd.it/1Efw,
34,Train to Busan,2016,https://boxd.it/dSQU,
35,A Quiet Place Part II,2020,https://boxd.it/iTx0,
36,M3GAN,2022,https://boxd.it/jxmG,
37,The Invisible Man,2020,https://boxd.it/kWlA,
38,What We Do in the Shadows,2014,https://boxd.it/7eQy,
39,It Follows,2014,https://boxd.it/87wo,
40,Scream VI,2023,https://boxd.it/zdfW,
41,Ready or Not,2019,https://boxd.it/kOf0,
42,Fresh,2022,https://boxd.it/tCNi,
43,Suspiria,2018,https://boxd.it/cioI,
44,Suspiria,1977,https://boxd.it/1SNW,
45,Rosemary's Baby,1968,https://boxd.it/29zM,
46,Cure,1997,https://boxd.it/1blA,
47,The Cremator,1969,https://boxd.it/1H8y,
48,OPAL,2020,https://boxd.it/suy8,
49,Kwaidan,1964,https://boxd.it/1kbY,
50,Evil Dead II,1987,https://boxd.it/29Ge,
51,The Evil Dead,1981,https://boxd.it/29Go,
52,Army of Darkness,1992,https://boxd.it/29G4,
53,Evil Dead Rise,2023,https://boxd.it/qIvo,
54,The Wailing,2016,https://boxd.it/9fLy,
55,Demons,1971,https://boxd.it/3yiy,
56,House,1977,https://boxd.it/1vsm,
57,The Haunting of Hill House,2018,https://boxd.it/kfJ0,
58,The Babadook,2014,https://boxd.it/77xu,
59,28 Days Later,2002,https://boxd.it/2aXU,
60,Men,2022,https://boxd.it/tlc0,
61,Crimes of the Future,2022,https://boxd.it/uTuY,
62,The Purge,2013,https://boxd.it/4Xg0,
63,Hush,2016,https://boxd.it/d5ys,
64,Infinity Pool,2023,https://boxd.it/oPSK,
65,Knock at the Cabin,2023,https://boxd.it/npL2,
66,The Host,2006,https://boxd.it/28ZY,
67,Saint Maud,2019,https://boxd.it/l8QA,
68,Alien: Covenant,2017,https://boxd.it/49UY,
69,Lamb,2021,https://boxd.it/tFwE,
70,The Others,2001,https://boxd.it/27Po,
71,MaXXXine,2024,https://boxd.it/CIM4,
72,The Backrooms,,https://boxd.it/EY6W,
73,Talk to Me,2022,https://boxd.it/C6uQ,
74,Joker,2019,https://boxd.it/h4cS,
75,Shutter Island,2010,https://boxd.it/1U82,
76,The Handmaiden,2016,https://boxd.it/948A,
77,Gone Girl,2014,https://boxd.it/6hQu,
