Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-06-29,Star Wars,,https://boxd.it/cy5kC,Just the good ones. The Siege of Mandalore is missing because it doesn’t exist on Letterboxd

Position,Name,Year,URL,Description
1,Star Wars,1977,https://boxd.it/72s,
2,The Empire Strikes Back,1980,https://boxd.it/27Vw,
3,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
4,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
5,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
6,Star Wars: Visions – The Village Bride,2021,https://boxd.it/x5aU,
7,Star Wars: Tales of the Jedi,2022,https://boxd.it/DmaE,
8,Star Wars: Visions – Akakiri,2021,https://boxd.it/x5by,
9,Star Wars: Visions – The Duel,2021,https://boxd.it/x5aq,
10,Star Wars: Visions – Screecher's Reach,2023,https://boxd.it/GqTY,
11,Star Wars: Visions – Aau's Song,2023,https://boxd.it/GqMo,
12,Star Wars: Visions – I Am Your Mother,2023,https://boxd.it/GqEE,
13,Star Wars: Visions – The Spy Dancer,2023,https://boxd.it/GqOk,
14,Star Wars: Visions – The Elder,2021,https://boxd.it/x5c2,
15,Star Wars: Visions – The Ninth Jedi,2021,https://boxd.it/x5be,
16,Star Wars: Visions – Journey to the Dark Head,2023,https://boxd.it/GqL6,
17,Star Wars: Visions – Lop & Ochō,2021,https://boxd.it/x5aK,
18,Star Wars: Visions – The Twins,2021,https://boxd.it/x5bI,
