Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-06-28,Annihilation,2018,https://boxd.it/1XhZsj,5,,This messed me up for a solid week,,2021-06-27
2021-06-28,Alien: Covenant,2017,https://boxd.it/1XhZHt,3.5,,This was the first movie of this franchise I saw and I expected it to have some sort of triumphant end but it didn’t. It was the first time I had seen anything that didn’t have plot protection and after the initial impact of the protagonists failure I was conflicted but now I’m invested in these movies.,,2021-06-27
2021-07-23,A Quiet Place Part II,2020,https://boxd.it/20WNUz,5,Yes,I sat next to my brother in the theater and you don’t typically notice someone breathing but wow he breathes absurdly loud,,2021-07-22
2021-11-27,National Lampoon's Christmas Vacation,1989,https://boxd.it/2jGnRX,5,Yes,“If I had a rubber hose I’d beat you..”,,2021-11-26
2021-12-18,Spider-Man: No Way Home,2021,https://boxd.it/2mOySZ,5,,I cried happy tears. And I clapped instinctively several times,,2021-12-17
2021-12-24,Ron's Gone Wrong,2021,https://boxd.it/2o7sDh,3,,Something felt wrong about this movie but Ron himself was quirky and funny.,,2021-12-24
2022-01-01,It's a Wonderful Life,1946,https://boxd.it/2qczz5,5,Yes,"This is the first time I paid attention through the entirety of the movie, that and now I’m old enough to understand what was even happening. Such a masterpiece of cinema. You won’t see movies come out of Hollywood like this one anymore.",,2021-12-31
2022-01-04,Don't Look Up,2021,https://boxd.it/2r1NeR,4,,"How is it that the most circulated, seen, and liked reviews are representing the lower 86k viewers that gave it less then 3 stars as if that is the overwhelming opinion of the movie when the much larger 229k viewers gave it 3+ stars?",,2022-01-03
2022-01-23,Spider-Man,2002,https://boxd.it/2vMeg9,4.5,Yes,"I loved this as a 9 year old for all the cool Spider-Man fight scenes but this time around I love it for different reasons even though some things didn’t age well, this really was a collaboration of masters of their craft.",,2022-01-22
2022-03-09,The Batman,2022,https://boxd.it/2E9JfT,5,,I’m a pleb so I can give this five stars. It slapped so hard.,,2022-03-08
2022-04-11,Parasyte -the maxim-,2014,https://boxd.it/2KclfF,4,,Cried my eyes out when Ryôko Tamiya died.,,2022-04-11
